timestamp,building,usage_kwh
2017-11-16 23:00:00,Panther_education_Mattie,2.76
2017-11-17 00:00:00,Panther_education_Mattie,2.52
2017-11-17 01:00:00,Panther_education_Mattie,2.64
2017-11-17 02:00:00,Panther_education_Mattie,2.76
2017-11-17 03:00:00,Panther_education_Mattie,2.52
2017-11-17 04:00:00,Panther_education_Mattie,2.88
2017-11-17 05:00:00,Panther_education_Mattie,2.4
2017-11-17 06:00:00,Panther_education_Mattie,2.76
2017-11-17 07:00:00,Panther_education_Mattie,2.52
2017-11-17 08:00:00,Panther_education_Mattie,4.32
2017-11-17 09:00:00,Panther_education_Mattie,6.0
2017-11-17 10:00:00,Panther_education_Mattie,8.76
2017-11-17 11:00:00,Panther_education_Mattie,9.72
2017-11-17 12:00:00,Panther_education_Mattie,8.28
2017-11-17 13:00:00,Panther_education_Mattie,9.36
2017-11-17 14:00:00,Panther_education_Mattie,9.36
2017-11-17 15:00:00,Panther_education_Mattie,9.48
2017-11-17 16:00:00,Panther_education_Mattie,7.92
2017-11-17 17:00:00,Panther_education_Mattie,6.24
2017-11-17 18:00:00,Panther_education_Mattie,6.0
2017-11-17 19:00:00,Panther_education_Mattie,4.32
2017-11-17 20:00:00,Panther_education_Mattie,4.08
2017-11-17 21:00:00,Panther_education_Mattie,3.84
2017-11-17 22:00:00,Panther_education_Mattie,3.48
2017-11-17 23:00:00,Panther_education_Mattie,2.52
2017-11-18 00:00:00,Panther_education_Mattie,2.28
2017-11-18 01:00:00,Panther_education_Mattie,2.04
2017-11-18 02:00:00,Panther_education_Mattie,2.28
2017-11-18 03:00:00,Panther_education_Mattie,1.92
2017-11-18 04:00:00,Panther_education_Mattie,2.28
2017-11-18 05:00:00,Panther_education_Mattie,2.04
2017-11-18 06:00:00,Panther_education_Mattie,2.16
2017-11-18 07:00:00,Panther_education_Mattie,2.16
2017-11-18 08:00:00,Panther_education_Mattie,1.92
2017-11-18 09:00:00,Panther_education_Mattie,2.28
2017-11-18 10:00:00,Panther_education_Mattie,3.24
2017-11-18 11:00:00,Panther_education_Mattie,4.44
2017-11-18 12:00:00,Panther_education_Mattie,5.28
2017-11-18 13:00:00,Panther_education_Mattie,5.88
2017-11-18 14:00:00,Panther_education_Mattie,5.76
2017-11-18 15:00:00,Panther_education_Mattie,6.24
2017-11-18 16:00:00,Panther_education_Mattie,5.64
2017-11-18 17:00:00,Panther_education_Mattie,5.64
2017-11-18 18:00:00,Panther_education_Mattie,4.92
2017-11-18 19:00:00,Panther_education_Mattie,4.44
2017-11-18 20:00:00,Panther_education_Mattie,3.96
2017-11-18 21:00:00,Panther_education_Mattie,3.72
2017-11-18 22:00:00,Panther_education_Mattie,3.48
2017-11-18 23:00:00,Panther_education_Mattie,2.4
2017-11-19 00:00:00,Panther_education_Mattie,2.16
2017-11-19 01:00:00,Panther_education_Mattie,2.28
2017-11-19 02:00:00,Panther_education_Mattie,1.92
2017-11-19 03:00:00,Panther_education_Mattie,2.16
2017-11-19 04:00:00,Panther_education_Mattie,1.92
2017-11-19 05:00:00,Panther_education_Mattie,2.28
2017-11-19 06:00:00,Panther_education_Mattie,2.04
2017-11-19 07:00:00,Panther_education_Mattie,2.52
2017-11-19 08:00:00,Panther_education_Mattie,2.52
2017-11-19 09:00:00,Panther_education_Mattie,4.2
2017-11-19 10:00:00,Panther_education_Mattie,5.88
2017-11-19 11:00:00,Panther_education_Mattie,8.52
2017-11-19 12:00:00,Panther_education_Mattie,8.76
2017-11-19 13:00:00,Panther_education_Mattie,9.0
2017-11-19 14:00:00,Panther_education_Mattie,8.88
2017-11-19 15:00:00,Panther_education_Mattie,8.64
2017-11-19 16:00:00,Panther_education_Mattie,8.52
2017-11-19 17:00:00,Panther_education_Mattie,8.04
2017-11-19 18:00:00,Panther_education_Mattie,8.04
2017-11-19 19:00:00,Panther_education_Mattie,6.0
2017-11-19 20:00:00,Panther_education_Mattie,5.04
2017-11-19 21:00:00,Panther_education_Mattie,3.72
2017-11-19 22:00:00,Panther_education_Mattie,2.64
2017-11-19 23:00:00,Panther_education_Mattie,1.92
2017-11-20 00:00:00,Panther_education_Mattie,2.28
2017-11-20 01:00:00,Panther_education_Mattie,2.04
2017-11-20 02:00:00,Panther_education_Mattie,2.16
